,,,,,,,
city,english_product_id,english_variant_id,spanish_variant_id,english_pdf_file,spanish_pdf_file,description_en,description_es
Dallas,,,,,,,
Houston,690841,1086721,1086714,Houston_EN.pdf,Houston_ES.pdf,"Plan your World Cup 2026 trip to Houston with insider tips on lodging, transport, fan zones, and the best local spots for match days.",
Kansas City,690852,1086731,1086738,KansasCity_EN.pdf,KansasCity_ES.pdf,"Plan your World Cup 2026 trip to Kansas City with insider tips on lodging, transport, fan zones, and the best local spots for match days.",
Miami,690855,1086741,1086744,Miami_EN.pdf,Miami_ES.pdf,"Plan your World Cup 2026 trip to Miami with insider tips on lodging, transport, fan zones, and the best local spots for match days.",
Atlanta,682982,1073892,1073894,Atlanta_EN.pdf,Attlanta_ES.pdf,"Plan your World Cup 2026 trip to Atlanta with insider tips on lodging, transport, fan zones, and the best local spots for match days.",
Philadelphia,691364,1087581,1087589,Philadelphia_EN.pdf,Philadelphia_ES.pdf,"Plan your World Cup 2026 trip to Philadelphia with insider tips on lodging, transport, fan zones, and the best local spots for match days.",
New York,690862,1086764,1086770,NewYork_EN.pdf,NewYork_ES.pdf,"Plan your World Cup 2026 trip to New York/New Jersey with insider tips on lodging, transport, fan zones, and the best local spots for match days.",
Boston,690860,1086756,1086759,Boston_EN.pdf,Boston_ES.pdf,"Plan your World Cup 2026 trip to Boston with insider tips on lodging, transport, fan zones, and the best local spots for match days.",
Toronto,691372,1087598,1087601,Toronto_EN.pdf,Toronto_ES.pdf,"Plan your World Cup 2026 trip to Toronto with insider tips on lodging, transport, fan zones, and the best local spots for match days.",
Vancouver,691374,1087606,1087617,Vancouver_EN.pdf,Vancouver_ES.pdf,"Plan your World Cup 2026 trip to Vancouver with insider tips on lodging, transport, fan zones, and the best local spots for match days.",
Seattle,682380,1073883,1072801,Seattle_EN.pdf,Seattle_ES.pdf,"Plan your World Cup 2026 trip to Seattle with insider tips on lodging, transport, fan zones, and the best local spots for match days.",
San Francisco,691383,1087624,1087634,SanFrancisco_EN.pdf,SanFrancisco_ES.pdf,"Plan your World Cup 2026 trip to San Francisco with insider tips on lodging, transport, fan zones, and the best local spots for match days.",
Los Angeles,691395,1087651,1087660,LosAngeles_EN.pdf,LosAngeles_ES.pdf,"Plan your World Cup 2026 trip to Los Angeles with insider tips on lodging, transport, fan zones, and the best local spots for match days.",
Guadalara,691429,1087730,1087734,Guadalajara_EN.pdf,Guadalajara_ES.pdf,"Plan your World Cup 2026 trip to Guadalajara with insider tips on lodging, transport, fan zones, and the best local spots for match days.",
Monterrrey,691426,1087716,1087728,Monterrey_EN.pdf,Monterrery_ES.pdf,"Plan your World Cup 2026 trip to Monterrey with insider tips on lodging, transport, fan zones, and the best local spots for match days.",
Mexico City,691412,1087684,1087705,MexicoCity_EN.pdf,MexicoCity_ES.pdf,"Plan your World Cup 2026 trip to Mexico City with insider tips on lodging, transport, fan zones, and the best local spots for match days.",
